person,sites
http://www.wikidata.org/entity/Q11613,153
http://www.wikidata.org/entity/Q11256,153
http://www.wikidata.org/entity/Q8597,153
http://www.wikidata.org/entity/Q7226,153
http://www.wikidata.org/entity/Q1744,152
http://www.wikidata.org/entity/Q23559,152
http://www.wikidata.org/entity/Q444,152
http://www.wikidata.org/entity/Q9588,152
http://www.wikidata.org/entity/Q17714,151
http://www.wikidata.org/entity/Q297,151
http://www.wikidata.org/entity/Q317521,151
http://www.wikidata.org/entity/Q23434,151
http://www.wikidata.org/entity/Q329,151
http://www.wikidata.org/entity/Q5604,151
http://www.wikidata.org/entity/Q5589,151
http://www.wikidata.org/entity/Q7416,151
http://www.wikidata.org/entity/Q5679,151
http://www.wikidata.org/entity/Q36153,150
http://www.wikidata.org/entity/Q8605,150
http://www.wikidata.org/entity/Q635,150
http://www.wikidata.org/entity/Q8750,150
http://www.wikidata.org/entity/Q5599,150
http://www.wikidata.org/entity/Q8006,150
http://www.wikidata.org/entity/Q7071,150
http://www.wikidata.org/entity/Q83287,150
http://www.wikidata.org/entity/Q1399,149
http://www.wikidata.org/entity/Q1047,149
http://www.wikidata.org/entity/Q9333,149
http://www.wikidata.org/entity/Q8479,149
http://www.wikidata.org/entity/Q8963,149
http://www.wikidata.org/entity/Q9200,149
http://www.wikidata.org/entity/Q16867,148
http://www.wikidata.org/entity/Q11806,148
http://www.wikidata.org/entity/Q2494,148
http://www.wikidata.org/entity/Q7207,148
http://www.wikidata.org/entity/Q8768,148
http://www.wikidata.org/entity/Q9038,148
http://www.wikidata.org/entity/Q1340,147
http://www.wikidata.org/entity/Q15869,147
http://www.wikidata.org/entity/Q1362169,147
http://www.wikidata.org/entity/Q8753,147
http://www.wikidata.org/entity/Q9353,147
http://www.wikidata.org/entity/Q7321,147
http://www.wikidata.org/entity/Q6105,147
http://www.wikidata.org/entity/Q7317,147
http://www.wikidata.org/entity/Q9364,147
http://www.wikidata.org/entity/Q9021,147
http://www.wikidata.org/entity/Q34296,146
http://www.wikidata.org/entity/Q7235,146
http://www.wikidata.org/entity/Q9916,146
http://www.wikidata.org/entity/Q221310,145
http://www.wikidata.org/entity/Q26876,145
http://www.wikidata.org/entity/Q39259,145
http://www.wikidata.org/entity/Q7326,145
http://www.wikidata.org/entity/Q9640,145
http://www.wikidata.org/entity/Q7374,145
http://www.wikidata.org/entity/Q9439,145
http://www.wikidata.org/entity/Q9671,145
http://www.wikidata.org/entity/Q1058,144
http://www.wikidata.org/entity/Q12897,144
http://www.wikidata.org/entity/Q1317,144
http://www.wikidata.org/entity/Q23441,144
http://www.wikidata.org/entity/Q30547,144
http://www.wikidata.org/entity/Q34424,144
http://www.wikidata.org/entity/Q3335,144
http://www.wikidata.org/entity/Q33866,144
http://www.wikidata.org/entity/Q989,144
http://www.wikidata.org/entity/Q909,144
http://www.wikidata.org/entity/Q15031,143
http://www.wikidata.org/entity/Q392,143
http://www.wikidata.org/entity/Q9049,143
http://www.wikidata.org/entity/Q9582,143
http://www.wikidata.org/entity/Q9041,143
http://www.wikidata.org/entity/Q17515,142
http://www.wikidata.org/entity/Q1779,142
http://www.wikidata.org/entity/Q26825,142
http://www.wikidata.org/entity/Q36970,142
http://www.wikidata.org/entity/Q6294,142
http://www.wikidata.org/entity/Q8877,142
http://www.wikidata.org/entity/Q5670,142
http://www.wikidata.org/entity/Q19878,141
http://www.wikidata.org/entity/Q13909,141
http://www.wikidata.org/entity/Q35064,141
http://www.wikidata.org/entity/Q81731,141
http://www.wikidata.org/entity/Q8581,141
http://www.wikidata.org/entity/Q7085,141
http://www.wikidata.org/entity/Q181383,140
http://www.wikidata.org/entity/Q7176,140
http://www.wikidata.org/entity/Q5683,140
http://www.wikidata.org/entity/Q7331,140
http://www.wikidata.org/entity/Q5603,140
http://www.wikidata.org/entity/Q7333,140
http://www.wikidata.org/entity/Q1254,139
http://www.wikidata.org/entity/Q34670,139
http://www.wikidata.org/entity/Q36107,139
http://www.wikidata.org/entity/Q34969,139
http://www.wikidata.org/entity/Q35149,139
http://www.wikidata.org/entity/Q41117,139
http://www.wikidata.org/entity/Q7742,139
http://www.wikidata.org/entity/Q9123,139
http://www.wikidata.org/entity/Q80,139
http://www.wikidata.org/entity/Q8620,139
