,person,sites,entity_id,label,description,wikipedia_url,user,likert_response
338,http://www.wikidata.org/entity/Q384569,22,Q384569,Geordi La Forge,character in Star Trek: The Next Generation and its feature films,https://en.wikipedia.org/wiki/Geordi_La_Forge,swimfellow,
339,http://www.wikidata.org/entity/Q742971,29,Q742971,John Bull,national personification of the United Kingdom,https://en.wikipedia.org/wiki/John_Bull,swimfellow,
340,http://www.wikidata.org/entity/Q757302,23,Q757302,Trunks,fictional character from Dragon Ball,https://en.wikipedia.org/wiki/Trunks_(Dragon_Ball),swimfellow,
341,http://www.wikidata.org/entity/Q5891802,21,Q5891802,Hannah Abbott,fictional character in the Harry Potter series,https://en.wikipedia.org/wiki/Hannah_Abbott,swimfellow,
342,http://www.wikidata.org/entity/Q1999847,21,Q1999847,Pachín,Spanish footballer (1938–2021),https://en.wikipedia.org/wiki/Pach%C3%ADn,swimfellow,
343,http://www.wikidata.org/entity/Q920224,25,Q920224,Gargamel,evil wizard from The Smurfs,https://en.wikipedia.org/wiki/Gargamel,swimfellow,
344,http://www.wikidata.org/entity/Q79325377,21,Q79325377,Din Djarin,character in the Star Wars series The Mandalorian,https://en.wikipedia.org/wiki/Mandalorian_(character),swimfellow,
345,http://www.wikidata.org/entity/Q74015,27,Q74015,Dorothy M. Metcalf-Lindenburger,astronaut,https://en.wikipedia.org/wiki/Dorothy_Metcalf-Lindenburger,swimfellow,
346,http://www.wikidata.org/entity/Q575227,24,Q575227,Beast Boy,fictional superhero,https://en.wikipedia.org/wiki/Beast_Boy,swimfellow,
347,http://www.wikidata.org/entity/Q10513897,20,Q10513897,Takashi Kamoshida,Japanese association football player,https://en.wikipedia.org/wiki/Takashi_Kamoshida,swimfellow,
348,http://www.wikidata.org/entity/Q18608497,42,Q18608497,Iñaki Williams,Spanish-Ghanaian association football player,https://en.wikipedia.org/wiki/I%C3%B1aki_Williams,swimfellow,
349,http://www.wikidata.org/entity/Q281468,20,Q281468,James Magnussen,"Australian swimmer, Olympic silver medallist, world champion",https://en.wikipedia.org/wiki/James_Magnussen,swimfellow,
350,http://www.wikidata.org/entity/Q313201,36,Q313201,Sergio García de la Fuente,Spanish footballer,"https://en.wikipedia.org/wiki/Sergio_Garc%C3%ADa_(footballer,_born_1983)",swimfellow,
351,http://www.wikidata.org/entity/Q403902,33,Q403902,Aidan Quinn,American actor,https://en.wikipedia.org/wiki/Aidan_Quinn,swimfellow,
352,http://www.wikidata.org/entity/Q1779361,23,Q1779361,Harry Osborn,fictional character in Marvel Comics,https://en.wikipedia.org/wiki/Harry_Osborn,swimfellow,
353,http://www.wikidata.org/entity/Q468049,26,Q468049,Claire Voisin,French mathematician,https://en.wikipedia.org/wiki/Claire_Voisin,swimfellow,
354,http://www.wikidata.org/entity/Q557584,30,Q557584,Mr. Freeze,fictional character throughout the DC Universe,https://en.wikipedia.org/wiki/Mr._Freeze,swimfellow,
355,http://www.wikidata.org/entity/Q427987,21,Q427987,Starfire,fictional Alien character from DC Comics,https://en.wikipedia.org/wiki/Starfire_(Teen_Titans),swimfellow,
356,http://www.wikidata.org/entity/Q2467893,23,Q2467893,Norman Bates,fictional character,https://en.wikipedia.org/wiki/Norman_Bates,swimfellow,
357,http://www.wikidata.org/entity/Q1647348,23,Q1647348,Leatherface,fictional character in the Texas Chainsaw Massacre franchise,https://en.wikipedia.org/wiki/Leatherface,swimfellow,
358,http://www.wikidata.org/entity/Q51789,44,Q51789,Padmé Amidala,fictional character in the Star Wars universe,https://en.wikipedia.org/wiki/Padm%C3%A9_Amidala,swimfellow,
359,http://www.wikidata.org/entity/Q121841,26,Q121841,Leela,main character in the television show Futurama,https://en.wikipedia.org/wiki/Leela_(Futurama),swimfellow,
360,http://www.wikidata.org/entity/Q5342183,28,Q5342183,Nightcrawler,fictional character in Marvel Comics,https://en.wikipedia.org/wiki/Nightcrawler_(character),swimfellow,
361,http://www.wikidata.org/entity/Q4283886,20,Q4283886,Hiroyuki Hayashi,Japanese association football player,https://en.wikipedia.org/wiki/Hiroyuki_Hayashi_(footballer),swimfellow,
362,http://www.wikidata.org/entity/Q469459,21,Q469459,François Cheng,"Chinese-born French writer, poet and calligrapher",https://en.wikipedia.org/wiki/Fran%C3%A7ois_Cheng,swimfellow,
363,http://www.wikidata.org/entity/Q998702,20,Q998702,Yanka Dyagileva,Soviet poet and singer-songwriter (1966-1991),https://en.wikipedia.org/wiki/Yanka_Dyagileva,swimfellow,
364,http://www.wikidata.org/entity/Q620483,26,Q620483,Aleksandr Deyneka,Russian artist (1899-1969),https://en.wikipedia.org/wiki/Aleksandr_Deyneka,swimfellow,
365,http://www.wikidata.org/entity/Q453272,24,Q453272,Joseph Martin Kraus,German composer (1756-1792),https://en.wikipedia.org/wiki/Joseph_Martin_Kraus,swimfellow,
366,http://www.wikidata.org/entity/Q185737,58,Q185737,Bilbo Baggins,fictional character from J.R.R. Tolkien's legendarium,https://en.wikipedia.org/wiki/Bilbo_Baggins,swimfellow,
367,http://www.wikidata.org/entity/Q159051,29,Q159051,Alfred Pennyworth,fictional character throughout the DC Universe,https://en.wikipedia.org/wiki/Alfred_Pennyworth,swimfellow,
368,http://www.wikidata.org/entity/Q20164618,22,Q20164618,Kirill Kaprizov,Russian ice hockey player,https://en.wikipedia.org/wiki/Kirill_Kaprizov,swimfellow,
369,http://www.wikidata.org/entity/Q728510,33,Q728510,Percival,one of King Arthur's legendary Knights of the Round Table,https://en.wikipedia.org/wiki/Percival,swimfellow,
370,http://www.wikidata.org/entity/Q616755,25,Q616755,Nyota Uhura,Star Trek character,https://en.wikipedia.org/wiki/Nyota_Uhura,swimfellow,
371,http://www.wikidata.org/entity/Q66417339,20,Q66417339,Kelsey Mitchell,Canadian track cyclist (1993-),https://en.wikipedia.org/wiki/Kelsey_Mitchell_(cyclist),swimfellow,
372,http://www.wikidata.org/entity/Q3221667,24,Q3221667,Parvati Patil,fictional character of the Harry Potter series,https://en.wikipedia.org/wiki/Parvati_Patil,swimfellow,
373,http://www.wikidata.org/entity/Q3278733,20,Q3278733,Poppy Pomfrey,Hogwarts nurse in the Harry Potter universe,https://en.wikipedia.org/wiki/Poppy_Pomfrey,swimfellow,
374,http://www.wikidata.org/entity/Q519851,32,Q519851,Juan Gelman,Argentine poet (1930-2014),https://en.wikipedia.org/wiki/Juan_Gelman,swimfellow,
375,http://www.wikidata.org/entity/Q932307,20,Q932307,Lázaro Bruzón,Cuban-American chess player,https://en.wikipedia.org/wiki/L%C3%A1zaro_Bruz%C3%B3n,swimfellow,
376,http://www.wikidata.org/entity/Q181064,20,Q181064,Audofleda,Queen of the Ostrogoths,https://en.wikipedia.org/wiki/Audofleda,swimfellow,
377,http://www.wikidata.org/entity/Q4291204,22,Q4291204,Heberty Fernandes de Andrade,Brazilian association football player,https://en.wikipedia.org/wiki/Heberty,swimfellow,
378,http://www.wikidata.org/entity/Q229640,39,Q229640,Anastasiya Kuzmina,Slovak biathlete,https://en.wikipedia.org/wiki/Anastasiya_Kuzmina,swimfellow,
379,http://www.wikidata.org/entity/Q76791,39,Q76791,Ferdinand von Richthofen,"German traveller, geographer and scientist (1833-1905)",https://en.wikipedia.org/wiki/Ferdinand_von_Richthofen,swimfellow,
380,http://www.wikidata.org/entity/Q172048,61,Q172048,Terence,Roman comic playwright,https://en.wikipedia.org/wiki/Terence,swimfellow,
381,http://www.wikidata.org/entity/Q448117,24,Q448117,Frode Estil,Norwegian cross-country skier,https://en.wikipedia.org/wiki/Frode_Estil,swimfellow,
382,http://www.wikidata.org/entity/Q51281,23,Q51281,Ben Linus,character from the American mystery fiction television series Lost,https://en.wikipedia.org/wiki/Ben_Linus,swimfellow,
383,http://www.wikidata.org/entity/Q208657,42,Q208657,Remus Lupin,fictional character from the Harry Potter universe,https://en.wikipedia.org/wiki/Remus_Lupin,swimfellow,
384,http://www.wikidata.org/entity/Q496902,22,Q496902,James Wilson,fictional character on the Fox medical drama House,https://en.wikipedia.org/wiki/James_Wilson_(House),swimfellow,
385,http://www.wikidata.org/entity/Q167444,38,Q167444,John Garang,Sudanese politician (1945–2005),https://en.wikipedia.org/wiki/John_Garang,swimfellow,
386,http://www.wikidata.org/entity/Q318549,35,Q318549,Anele Ngcongca,South African footballer,https://en.wikipedia.org/wiki/Anele_Ngcongca,swimfellow,
387,http://www.wikidata.org/entity/Q2297886,26,Q2297886,Electro,fictional character in Marvel Comics,https://en.wikipedia.org/wiki/Electro_(Marvel_Comics),swimfellow,
388,http://www.wikidata.org/entity/Q7881262,30,Q7881262,Arthur Weasley,fictional character in the Harry Potter universe,https://en.wikipedia.org/wiki/Arthur_Weasley,swimfellow,
389,http://www.wikidata.org/entity/Q223233,59,Q223233,Sam Mendes,British stage and film director (born 1965),https://en.wikipedia.org/wiki/Sam_Mendes,swimfellow,
390,http://www.wikidata.org/entity/Q1319784,23,Q1319784,Maria Hill,fictional character in Marvel Comics,https://en.wikipedia.org/wiki/Maria_Hill,swimfellow,
391,http://www.wikidata.org/entity/Q190366,43,Q190366,Neville Longbottom,fictional character in the Harry Potter universe,https://en.wikipedia.org/wiki/Neville_Longbottom,swimfellow,
392,http://www.wikidata.org/entity/Q353105,29,Q353105,Andrzej Szarmach,Polish footballer,https://en.wikipedia.org/wiki/Andrzej_Szarmach,swimfellow,
393,http://www.wikidata.org/entity/Q910204,28,Q910204,Thing,fictional character in Marvel Comics,https://en.wikipedia.org/wiki/Thing_(comics),swimfellow,
394,http://www.wikidata.org/entity/Q1992523,21,Q1992523,J. Jonah Jameson,fictional character in Marvel Comics,https://en.wikipedia.org/wiki/J._Jonah_Jameson,swimfellow,
